n         ty(tn)
----------------------
0         0
0.05      -0.00125156
0.1       -0.0050157
0.15      -0.011321
0.2       -0.0202158
0.25      -0.0317696
0.3       -0.046075
0.35      -0.06325
0.4       -0.0834415
0.45      -0.10683
0.5       -0.133636
0.55      -0.164125
0.6       -0.198624
0.65      -0.237526
0.7       -0.281318
0.75      -0.3306
0.8       -0.386122
0.85      -0.448835
0.9       -0.519967
0.95      -0.601136
1         -0.694529
1.05      -0.803207
1.1       -0.931627
1.15      -1.08667
1.2       -1.27976
1.25      -1.53229
1.3       -1.89263
1.35      -2.53349
1.4       -nan
1.45      -nan
1.5       -nan
1.55      -nan
1.6       -nan
1.65      -nan
1.7       -nan
1.75      -nan
1.8       -nan
1.85      -nan
1.9       -nan
1.95      -nan
2         -nan
2.05      -nan
2.1       -nan
2.15      -nan
2.2       -nan
2.25      -nan
2.3       -nan
2.35      -nan
2.4       -nan
2.45      -nan
2.5       -nan
2.55      -nan
2.6       -nan
2.65      -nan
2.7       -nan
2.75      -nan
2.8       -nan
2.85      -nan
2.9       -nan
2.95      -nan
3         -nan
3.05      -nan
3.1       -nan
3.15      -nan
3.2       -nan
3.25      -nan
3.3       -nan
3.35      -nan
3.4       -nan
3.45      -nan
3.5       -nan
3.55      -nan
3.6       -nan
3.65      -nan
3.7       -nan
3.75      -nan
3.8       -nan
3.85      -nan
3.9       -nan
3.95      -nan
4         -nan
4.05      -nan
4.1       -nan
4.15      -nan
4.2       -nan
4.25      -nan
4.3       -nan
4.35      -nan
4.4       -nan
4.45      -nan
4.5       -nan
4.55      -nan
4.6       -nan
4.65      -nan
4.7       -nan
4.75      -nan
4.8       -nan
4.85      -nan
4.9       -nan
4.95      -nan
5         -nan
